team_long_name,city,team_cleaned,team_and_city
KRC Genk,Genk,KRC Genk,KRC Genk (Genk)
Beerschot AC,Antwerpen,Beerschot AC,Beerschot AC (Antwerpen)
SV Zulte-Waregem,Waregem,SV Zulte-Waregem,SV Zulte-Waregem (Waregem)
Sporting Lokeren,Lokeren,Sporting Lokeren,Sporting Lokeren (Lokeren)
KSV Cercle Brugge,Brugge,KSV Cercle Brugge,KSV Cercle Brugge (Brugge)
RSC Anderlecht,Brüssel,RSC Anderlecht,RSC Anderlecht (Brüssel)
KAA Gent,Gent,KAA Gent,KAA Gent (Gent)
RAEC Mons,Mons,RAEC Mons,RAEC Mons (Mons)
FCV Dender EH,Denderleeuw,FCV Dender EH,FCV Dender EH (Denderleeuw)
Standard de Liège,Lüttich,Standard de Liège,Standard de Liège (Lüttich)
KV Mechelen,Mechelen,KV Mechelen,KV Mechelen (Mechelen)
Club Brugge KV,Brugge,Club Brugge KV,Club Brugge KV (Brugge)
KSV Roeselare,Roeselare,KSV Roeselare,KSV Roeselare (Roeselare)
KV Kortrijk,Kortrijk,KV Kortrijk,KV Kortrijk (Kortrijk)
Tubize,Tubize,Tubize,Tubize (Tubize)
Royal Excel Mouscron,Mouscron,Royal Excel Mouscron,Royal Excel Mouscron (Mouscron)
KVC Westerlo,Westerlo,KVC Westerlo,KVC Westerlo (Westerlo)
Sporting Charleroi,Charleroi,Sporting Charleroi,Sporting Charleroi (Charleroi)
Sint-Truidense VV,VV,Sint-Truidense VV,Sint-Truidense VV (VV)
Lierse SK,SK,Lierse SK,Lierse SK (SK)
KAS Eupen,Eupen,KAS Eupen,KAS Eupen (Eupen)
Oud-Heverlee Leuven,Leuven,Oud-Heverlee Leuven,Oud-Heverlee Leuven (Leuven)
Waasland-Beveren,Beveren,Waasland-Beveren,Waasland-Beveren (Beveren)
KV Oostende,Oostende,KV Oostende,KV Oostende (Oostende)
Manchester United,Manchester,Manchester United,Manchester United (Manchester)
Newcastle United,Newcastle upon Tyne,Newcastle United,Newcastle United (Newcastle upon Tyne)
Arsenal,London,Arsenal,Arsenal (London)
West Bromwich Albion,West Bromwich,West Bromwich Albion,West Bromwich Albion (West Bromwich)
Sunderland,Sunderland,Sunderland,Sunderland (Sunderland)
Liverpool,Liverpool,Liverpool,Liverpool (Liverpool)
West Ham United,London,West Ham United,West Ham United (London)
Wigan Athletic,Wigan,Wigan Athletic,Wigan Athletic (Wigan)
Aston Villa,Birmingham,Aston Villa,Aston Villa (Birmingham)
Manchester City,Manchester,Manchester City,Manchester City (Manchester)
Everton,Liverpool,Everton,Everton (Liverpool)
Blackburn Rovers,Blackburn,Blackburn Rovers,Blackburn Rovers (Blackburn)
Middlesbrough,Middlesbrough,Middlesbrough,Middlesbrough (Middlesbrough)
Tottenham Hotspur,London,Tottenham Hotspur,Tottenham Hotspur (London)
Bolton Wanderers,Bolton,Bolton Wanderers,Bolton Wanderers (Bolton)
Stoke City,Stoke-on-Trent,Stoke City,Stoke City (Stoke-on-Trent)
Hull City,Kingston upon Hull,Hull City,Hull City (Kingston upon Hull)
Fulham,London,Fulham,Fulham (London)
Chelsea,London,Chelsea,Chelsea (London)
Portsmouth,Portsmouth,Portsmouth,Portsmouth (Portsmouth)
Birmingham City,Birmingham,Birmingham City,Birmingham City (Birmingham)
Wolverhampton Wanderers,Wolverhampton,Wolverhampton Wanderers,Wolverhampton Wanderers (Wolverhampton)
Burnley,Burnley,Burnley,Burnley (Burnley)
Blackpool,Blackpool,Blackpool,Blackpool (Blackpool)
Swansea City,Swansea,Swansea City,Swansea City (Swansea)
Queens Park Rangers,London,Queens Park Rangers,Queens Park Rangers (London)
Norwich City,Norwich,Norwich City,Norwich City (Norwich)
Southampton,Southampton,Southampton,Southampton (Southampton)
Reading,Reading,Reading,Reading (Reading)
Crystal Palace,London,Crystal Palace,Crystal Palace (London)
Cardiff City,Cardiff,Cardiff City,Cardiff City (Cardiff)
Leicester City,Leicester,Leicester City,Leicester City (Leicester)
Bournemouth,Bournemouth,Bournemouth,Bournemouth (Bournemouth)
Watford,Watford,Watford,Watford (Watford)
AJ Auxerre,Auxerre,AJ Auxerre,AJ Auxerre (Auxerre)
FC Nantes,Nantes,FC Nantes,FC Nantes (Nantes)
Girondins de Bordeaux,Bordeaux,Girondins de Bordeaux,Girondins de Bordeaux (Bordeaux)
SM Caen,Caen,SM Caen,SM Caen (Caen)
Le Havre AC,Havre,Le Havre AC,Le Havre AC (Havre)
OGC Nice,Nice,OGC Nice,OGC Nice (Nice)
Le Mans FC,Mans,Le Mans FC,Le Mans FC (Mans)
FC Lorient,Lorient,FC Lorient,FC Lorient (Lorient)
Olympique Lyonnais,Lyon,Olympique Lyonnais,Olympique Lyonnais (Lyon)
Toulouse FC,Toulouse,Toulouse FC,Toulouse FC (Toulouse)
AS Monaco,Monaco,AS Monaco,AS Monaco (Monaco)
Paris Saint-Germain,Paris,Paris Saint-Germain,Paris Saint-Germain (Paris)
AS Nancy-Lorraine,Nancy,AS Nancy-Lorraine,AS Nancy-Lorraine (Nancy)
LOSC Lille,Lille,LOSC Lille,LOSC Lille (Lille)
Stade Rennais FC,Rennes,Stade Rennais FC,Stade Rennais FC (Rennes)
Olympique de Marseille,Marseille,Olympique de Marseille,Olympique de Marseille (Marseille)
FC Sochaux-Montbéliard,Montbéliard,FC Sochaux-Montbéliard,FC Sochaux-Montbéliard (Montbéliard)
Grenoble Foot 38,Foot,Grenoble Foot 38,Grenoble Foot 38 (Foot)
Valenciennes FC,Valenciennes,Valenciennes FC,Valenciennes FC (Valenciennes)
AS Saint-Étienne,Saint-Étienne,AS Saint-Étienne,AS Saint-Étienne (Saint-Étienne)
RC Lens,Lens,RC Lens,RC Lens (Lens)
Montpellier Hérault SC,Montpellier,Montpellier Hérault SC,Montpellier Hérault SC (Montpellier)
US Boulogne Cote D'Opale,D'Opale,US Boulogne Cote D'Opale,US Boulogne Cote D'Opale (D'Opale)
AC Arles-Avignon,Avignon,AC Arles-Avignon,AC Arles-Avignon (Avignon)
Stade Brestois 29,Brest,Stade Brestois 29,Stade Brestois 29 (Brest)
AC Ajaccio,Ajaccio,AC Ajaccio,AC Ajaccio (Ajaccio)
Évian Thonon Gaillard FC,Gaillard,Évian Thonon Gaillard FC,Évian Thonon Gaillard FC (Gaillard)
Dijon FCO,FCO,Dijon FCO,Dijon FCO (FCO)
Stade de Reims,Reims,Stade de Reims,Stade de Reims (Reims)
SC Bastia,Bastia,SC Bastia,SC Bastia (Bastia)
ES Troyes AC,Troyes,ES Troyes AC,ES Troyes AC (Troyes)
En Avant de Guingamp,Guingamp,En Avant de Guingamp,En Avant de Guingamp (Guingamp)
FC Metz,Metz,FC Metz,FC Metz (Metz)
Angers SCO,Angers,Angers SCO,Angers SCO (Angers)
GFC Ajaccio,Ajaccio,GFC Ajaccio,GFC Ajaccio (Ajaccio)
FC Bayern Munich,Munich,FC Bayern Munich,FC Bayern Munich (Munich)
Hamburger SV,Hamburg,Hamburger SV,Hamburger SV (Hamburg)
Bayer 04 Leverkusen,Leverkusen,Bayer 04 Leverkusen,Bayer 04 Leverkusen (Leverkusen)
Borussia Dortmund,Dortmund,Borussia Dortmund,Borussia Dortmund (Dortmund)
FC Schalke 04,Schalke,FC Schalke 04,FC Schalke 04 (Schalke)
Hannover 96,Hannover,Hannover 96,Hannover 96 (Hannover)
VfL Wolfsburg,Wolfsburg,VfL Wolfsburg,VfL Wolfsburg (Wolfsburg)
1. FC Köln,Köln,1. FC Köln,1. FC Köln (Köln)
Eintracht Frankfurt,Frankfurt am Main,Eintracht Frankfurt,Eintracht Frankfurt (Frankfurt am Main)
Hertha BSC Berlin,Berlin,Hertha BSC Berlin,Hertha BSC Berlin (Berlin)
DSC Arminia Bielefeld,Bielefeld,DSC Arminia Bielefeld,DSC Arminia Bielefeld (Bielefeld)
SV Werder Bremen,Bremen,SV Werder Bremen,SV Werder Bremen (Bremen)
FC Energie Cottbus,Cottbus,FC Energie Cottbus,FC Energie Cottbus (Cottbus)
TSG 1899 Hoffenheim,Sinsheim,TSG 1899 Hoffenheim,TSG 1899 Hoffenheim (Sinsheim)
Borussia Mönchengladbach,Mönchengladbach,Borussia Mönchengladbach,Borussia Mönchengladbach (Mönchengladbach)
VfB Stuttgart,Stuttgart,VfB Stuttgart,VfB Stuttgart (Stuttgart)
